,Target price,Output
0,4200.0,3844.1829
1,7899.999999999996,6474.4165
2,13300.000000000005,13497.138
3,22999.999999999993,24643.805
4,18300.000000000015,20330.8
5,199999.00000000006,184310.0
7,14199.999999999995,13577.037
8,10798.999999999995,8935.351
9,1399.9999999999998,2201.4128
10,11950.00000000001,8935.351
11,2499.9999999999995,3160.0403
12,9499.999999999995,11005.763
13,10499.999999999993,10546.243
14,16000.000000000002,15742.746
15,8600.0,8688.458
16,2990.000000000002,3502.5725
18,26500.000000000007,28395.35
19,3499.9999999999995,2487.9014
20,38233.0,34989.453
21,7500.000000000001,7945.871
22,6799.999999999999,6390.9556
23,10499.999999999993,9632.493
24,24900.000000000004,24175.727
25,20800.000000000007,21728.8
26,6499.999999999995,6564.8066
27,13566.000000000005,12875.719
28,8500.000000000005,8975.988
30,2900.0000000000005,3525.0176
31,21499.99999999998,23535.453
32,17900.000000000007,17809.393
33,28500.00000000002,27137.984
34,9800.000000000007,10618.382
35,14500.000000000004,10705.878
36,5999.999999999995,5469.253
37,67500.00000000004,52551.19
38,33900.0,30698.975
40,9800.000000000007,8420.95
41,63000.00000000004,47212.05
42,7700.0000000000055,6443.2183
43,9600.000000000004,13258.416
44,12799.99999999999,12861.323
45,41000.00000000003,43212.676
47,3699.9999999999995,3985.0994
48,29500.000000000025,29562.303
49,6499.999999999995,5469.253
51,8249.999999999993,10054.087
52,19500.000000000007,22418.312
53,13499.999999999996,11741.165
54,9200.000000000005,12283.788
57,5000.000000000004,5181.9985
58,23900.00000000002,25362.027
59,36900.000000000015,35518.805
60,8900.000000000002,5547.4453
61,7799.999999999996,5109.308
62,132999.99999999997,97041.03
63,1649.9999999999998,2077.7007
64,50000.00000000001,14996.483
65,9700.000000000004,9171.723
66,9999.000000000002,10677.003
67,69998.99999999997,74830.76
68,6499.999999999995,6819.9155
69,4300.0,3860.8777
70,2999.9999999999977,2717.3425
71,8700.000000000004,6912.6694
72,9000.000000000004,9514.688
73,20399.999999999985,18204.35
74,9000.000000000004,8768.444
75,13399.99999999999,10228.732
76,3699.9999999999995,2985.6155
77,9849.999999999995,15825.643
78,3699.9999999999995,4265.723
79,15700.000000000002,15083.087
80,24500.0,19348.457
81,7500.000000000001,6819.9155
82,11989.99999999999,7985.4116
83,13708.499999999998,15919.66
84,8199.999999999998,6471.3237
85,6998.999999999996,7050.018
86,6749.999999999997,5773.934
87,18499.999999999985,15770.17
88,14299.000000000005,14242.434
89,28500.00000000002,21140.688
90,17000.00000000001,17809.393
92,25699.999999999996,31086.36
93,2650.0,2838.1284
94,8500.000000000005,7316.1714
95,3999.9999999999995,3532.7344
96,10999.999999999998,8552.924
97,14500.000000000004,11793.066
98,4099.000000000001,4005.247
99,31500.000000000015,31978.648
100,4500.000000000001,5043.3867
101,6699.9999999999945,7491.441
103,20800.000000000007,19700.967
104,107998.99999999996,124040.81
105,3499.9999999999995,2889.307
106,39000.00000000002,34611.41
107,13499.999999999996,16447.404
108,6150.000000000005,6819.9155
109,45499.99999999997,42668.24
110,4900.000000000004,4604.3916
111,47000.00000000002,44058.246
112,19200.000000000007,13727.729
114,11099.999999999993,11687.607
115,8199.999999999998,10083.537
116,10300.000000000005,10319.512
117,11989.99999999999,8402.331
119,46800.00000000004,40055.355
120,1500.0,1771.5336
121,6350.000000000002,7169.144
123,8900.000000000002,8569.997
124,12700.000000000004,17284.336
125,8000.0,6809.985
